Company	Category	Job_Title	Basic_Qualifications	Preferred_Qualifications	Job_URL
Amazon	operations-it-support-engineering	Sr. Solutions Engineer	· Bachelor’s degree in Mechanical/Industrial/Process Engineering or related STEM field is required; or 2+ years of relevant Amazon experience.· 5+ years of experience in Design/Innovation, Research & Development, Manufacturing/Process/Industrial Engineering, or related fields.· Experience in technical leadership for large-scale engineering projects· Experience with complex MHE and packaging lines or process design based on Lean Manufacturing or Toyota Manufacturing System· Experience using MS Excel, MS Project, and CAD software· Experience leading engineering design projects and interacting with cross-functional teams	· MBA, Master’s Degree or other advanced degree in Mechanical/Industrial/Process Engineering, Operations, Business Administration or related field and at least 5 years of progressively responsible experience in the specialty· 3+ year experience with complex automated material handling equipment, packaging technologies, and systems including robotics and high-speed manufacturing.· Proficiency in AutoCAD 3D· Proficiency in using advanced simulation modeling tools (Flexsim, Arena, Simio, etc)· Proficiency in running SQL queries and data mining· Experience in engineering and estimating material handling and storage systems· Operations Management/ Fulfillment/Distribution Center experience preferred· Capital project management skills.· Proficiency with concepts like system architecture, optimization, system dynamics, system analysis, statistical analysis, reliability analysis, and decision making.· Design-in-Safety experience· Ability to work independently in a fast-paced and rapidly changing environment· Ability to manage, influence, negotiate, and communicate with external business partners and internal teams to meet organizational capacity needs	https://www.amazon.jobs/en/jobs/1413134/sr-solutions-engineer
Amazon	operations-it-support-engineering	Network Development Engineer	· Bachelor’s Degree in a technology related field or equivalent experience to a Bachelor's degree· 3+ years professional experience working in large scale networking environments.· Experience with internet routing protocols and concepts: TCP/IP, BGP, MPLS, ISIS and/or OSPF· Experience with network operating systems such as Cisco IOS and Junos.· Experience working in a Linux/Unix environment· Experience in automation via Bash/shell scripting and Perl/Python programming.	· Knowledge of network analysis fundamentals and robust troubleshooting skills; specifically, network performance analysis· Experience working with customers to diagnose a problem, and work toward resolution· Excellent verbal and written communication skills· Meets/exceeds Amazon’s leadership principles requirements for this role· Meets/exceeds Amazon’s functional/technical depth and complexity for this role	https://www.amazon.jobs/en/jobs/1412826/network-development-engineer
Amazon	operations-it-support-engineering	Salesforce Business Analyst	· Bachelor’s degree, high standard of education, or compensating work experience.· 2+ years hands-on experience with Salesforce configuration and change management· Demonstrated understanding of and experience with Salesforce architecture and automation using workflow and process builder· Ability to design, build, test, debug, and maintain Salesforce development and applications· Experiences in training and engaging with users to drive adoption· In-depth understanding of the architecture, capabilities and constraints of the Salesforce application coupled with good understanding of business processes	· Certified Salesforce.com Salesforce Administrator, Sales Cloud Consultant, and Platform App Builder or other equivalent qualification.· Create Salesforce dashboard and reports· Solid understanding of and detailed experience working with enterprise level Salesforce.com instance.· Strong business analysis and functional understanding, including requirements gathering, creating/deploying solutions to end users.· Strong problem solving skills and ability to assess a problem and determine an effective course of action with sustainable solution.· Excellent verbal/written communication skills, including an ability to effectively communicate with both business and technical teams.· Excellent customer service skills, including strong ability to determine customer needs and provide appropriate solutions.· Experience implementing Salesforce in highly regulated industries.· Previous experience implementing and configuring Service Cloud, Health Cloud, Pardot, Marketing Cloud, and/or other customer support tools.· Experience with Apex/Visualforce, JavaScript, HTML, CSS, etc.· Strong understanding of Agile based development practices and Sprint planning strategies.· Experiencs with AWS solutions· Experience using Salesforce data tools (Data Loader, DemandTools, Eclipse Force.com IDE).· Experience working on iterative projects, and with deployment strategies/processes (staging environment vs. production).	https://www.amazon.jobs/en/jobs/1411982/salesforce-business-analyst
Amazon	operations-it-support-engineering	Support Engineer III	· B.S. in Computer Science, Engineering or a related technical field or equivalent experience· 2+ years experience in supporting SharePoint, MS SQL server and windows based third party applications· 2+ years of hands on experience with web technologies HTML, CSS, JavaScript· 1+ year of programming experience with c# or scripting language	· Highly motivated, passionate about people and have experience managing technical operations and support engineering· Strong verbal and written communication skills· Ability to write intermediate level SQL queries· Demonstrated skill and passion for operational excellence· Experience running and maintaining 24x7 production environments	https://www.amazon.jobs/en/jobs/1411979/support-engineer-iii
Amazon	operations-it-support-engineering	Business Intelligence Engineer	· 5+ years of experience as an analyst or engineer in the data/BI space· Demonstrated experience with data visualization using Tableau, Quicksight, or similar tools· Proven experience with SQL	· Strong desire to understand your customers· Experience working directly with business stakeholders to translate between data and business needs· Excellent data presentation skills· Excellent written and verbal communication skills in English· Ability and will to quickly and continuously learn new technologies· Strong passion and will for automation· Experience in operations management· Understanding in basic computer/network security conceptAmazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected statuses. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.	https://www.amazon.jobs/en/jobs/1411533/business-intelligence-engineer
Amazon	operations-it-support-engineering	System Development Engineer - AWS Networking Deployment	• 3+ years relevant work experience• Experience deploying and operating Linux or other UNIX variants in a datacenter environment.• Experience with server hardware management across multiple vendors.• Experience in automation via shell scripting and python programming.• Knowledge of standard internet protocols (Ethernet, ARP, IP, ICMP, UDP, TCP, SSL, DNS, HTTP, etc.)• Previous experience with network automation (e.g. automated provisioning and remote configuration of switches and routers; flow-based analysis and predictive modeling of traffic in dynamic routing environments.)	· A background in large-scale network design is highly desired.· Strong IP networking fundamentals and experience with the application of IP protocols· Understand how commodity servers, operating systems and network devices function, perform and scale· Networking protocols: A basic understanding of the TCP/IP Networking Stack (L1-L4) is desirable.· Meets/exceeds Amazon’s leadership principles requirements for this role· Meets/exceeds Amazon’s functional/technical depth and complexity for this role	https://www.amazon.jobs/en/jobs/1410800/system-development-engineer-aws-networking-deployment
Amazon	operations-it-support-engineering	Business Operations Manager	· 10+ years of experience in project management and leading large cross-functional teams in operations and process improvement areas· 10+ years of experience in working in Operations or Business Support in an enterprise environment· 10+ years working with technical field organizations (as in Sales, Support , Professional Services, or similar in a Technical Organization)· 5+ years of report creation and analysis skills using Excel or a reporting platform· 5-7 years of P&L management· BS/BA degree	· MBA preferred· Curiosity to dig several layers deep into metrics, have an innate desire to understand key drivers and whether they are the correct or best metrics to measure/manage a business or process· Proven track record of taking ownership and driving results· Experience managing people, incl. geographically dispersed teams· Experience building forecasting models· Extremely strong problem structuring and solving skills and ability to deal with ambiguity· SQL query skills· Scripting skill	https://www.amazon.jobs/en/jobs/1409154/business-operations-manager
Amazon	operations-it-support-engineering	Support Engineer, Alexa Skills	· Bachelor’s Degree in Computer Science or related field.· 1+ years experience in support engineering, operations, maintenance, and process improvement.· Proficiency in, at least, one modern programming language such as C#, Java, or Perl.· Experience in Python/shell scripts.· Understanding of Computer Science fundamentals in object-oriented design, and Data Structures.· Technical deep dive and automation, troubleshooting.	· Excellent problem-solving skills.· Able to prioritize and perform in complex, fast-paced situations.· Web services and web application/services understanding and troubleshooting, deep dive experience.· Experience with very large, high-throughput distributed systems.· Strong as an individual contributor creating, managing standard operating procedures and internal process.· Excellent troubleshooting and documentation skills.· Able to show good judgment and instincts in decision making.· Meets/exceeds Amazon’s functional/technical depth and complexity for this role.	https://www.amazon.jobs/en/jobs/1408558/support-engineer-alexa-skills
Amazon	operations-it-support-engineering	IT Application Development Engineer II - AMZ5044	Position Requirements:Master’s degree or foreign equivalent in Computer Science, Engineering, Mathematics, or a related field and two years of experience in the job offered or as a Systems Analyst, Software Engineer or Developer, or a related occupation. Employer will accept a Bachelors degree or foreign equivalent in Computer Science, Engineering, Mathematics or a related field and five years of experience in the job offered or related occupation as equivalent to the Masters degree and one year of experience. Must have one year of experience in the following skill(s): developing solutions for oracle e-business suite; using oracle development tools including SQL, PLSQL, reports, forms, bi publisher, workflow builder and JDeveloper; using UNIX/LINUX shell scripting and ETL tools; writing complex SQL queries and PLSQL packages; experience with at least two of the following e-business suite applications: accounts receivable, accounts payable, general ledger, inventory, or fixed assets; and engaging oracle support to research and resolve issues.	Please see job description and position requirements above.	https://www.amazon.jobs/en/jobs/1408144/it-application-development-engineer-ii-amz5044
Amazon	operations-it-support-engineering	Systems Engineer - Database Services	· B.S. or M.S. degree in Computer Science, Engineering, or related field or equivalent experience· 4+ years Linux experience· 4+ years of experience with scripting in bash, python, perl, php, shell or similar languages· Current, active US Government Security Clearance of Top Secret or above	- Experience developing in a modern programming language, such as C++, Java, C#, Python, or Ruby- Experience operating large scale systems- Solid grasp of networking fundamentals- Experience in a 24/7 production environment- Knowledge of databases like MySQL, Oracle, SQLServer, or MongoDB- Must be able to see opportunities for improvement, take ownership and closely work with development team to drive product improvement.- Passion for providing a great customer experience- Proficiency in design and analysis of algorithms and data structures- Ability to work in a fast paced and agile development environment- Excellent communication, prioritization, and analytical skills	https://www.amazon.jobs/en/jobs/1407816/systems-engineer-database-services
