Company	Category	Job_Title	Basic_Qualifications	Preferred_Qualifications	Job_URL
Amazon	research-science	Applied Scientist, Amazon Fashion	· 5+ years of relevant, broad research experience after PhD degree or equivalent in a highly quantitative analysis field.· Experience on Machine Learning, Computer Science, Statistics, Mathematics, or other related fields.· Skills with Python, Java, C++, or other programming language, as well as with R, Matlab or similar scripting language	· Deep knowledge of probabilistic machine learning and experience on modern deep learning topics.· Experience with distributed machine learning systems· Leadership experience in a research team, including planning, mentoring, and ownership of group outcomes.· Communication and data presentation skills· A natural curiosity and desire to learn· Ability to distill problem definitions, models, and constraints from informal business requirements, and to deal with ambiguity and competing objectives· Published research work in academic conferences or industry circles	https://www.amazon.jobs/en/jobs/973660/applied-scientist-amazon-fashion
Amazon	research-science	Applied Scientist Amazon Scout - Simulation	· Bachelor’s Degree in Computer Science or related field· Equivalent experience to a Bachelor's degree based on 3 years of work experience for every 1 year of education· 3+ years professional experience in software development· Strong Computer Science fundamentals· Knowledge of C++	· Knowledge of python and shell scripting· Knowledge of any of the following areas: Physical simulation or modeling, Computer vision, graphics, or gaming, Artificial intelligence, autonomous agents, Distributed systems· Knowledge of professional software engineering practices & best practices for the full software development life cycle, including coding standards, code reviews, source control management, build processes, testing, and operations· Experience in communicating with users, other technical teams, and management to collect requirements, describe software product features, and technical designs.· Ability to work on a diverse team or with a diverse range of coworkers.Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us	https://www.amazon.jobs/en/jobs/940823/applied-scientist-amazon-scout-simulation
Amazon	research-science	Applied Science Manager	· MS in Computer Science, Machine Learning, Operational Research, Statistics or a related quantitative field· At least 1-2 years of experience in a tech lead capacity, or managing a team of applied scientists and engineers.· At least 5+ years of hands-on experience in predictive modeling and analysis· Strong algorithm development experience· Skills with Java, C++, or other OOP language, as well as with Python, R, MATLAB or similar scripting language· Strong communication and data presentation skills· Extensive experience applying theoretical models in an applied environment.· Expertise on a broad set of ML approaches and techniques, ranging from Artificial Neural Networks to Bayesian Non-Parametrics methods.	The ideal candidate will have a PhD in Mathematics, Statistics, Machine Learning, or a related quantitative field, and 7+ years of relevant work experience, including:· 7+ years of hands-on experience in predictive modeling and analysis· Significant peer reviewed scientific contributions in relevant field.· Strong fundamentals in problem solving, algorithm design and complexity analysis.· Passionate personal interest in learning, researching, and creating new technologies with high commercial impact.· Experience with defining organizational research and development practices in an industry setting.· Proven track in leading, mentoring and growing teams of scientists.· Expert in more than one more major programming languages (C++, Java, or similar) and at least one scripting language (Perl, Python, or similar).	https://www.amazon.jobs/en/jobs/937593/applied-science-manager
Amazon	research-science	Senior Applied Scientist , Machine Learning	· M.S. or Ph.D. in Computer Science, Information Retrieval, Machine Learning, Statistics, Applied Mathematics, Natural Language Processing, or related discipline.· Breadth and depth knowledge of machine learning algorithms and best practices.· At least 4 years of hands-on experience in building Machine Learning solutions to solve real-world problems.· At least 4 years of experience with computer science fundamentals in object-oriented design, data structures, algorithm design, problem solving, and complexity analysis.· At least 4 years of experience with, at least, one model programming language such as Java, Python, Scala, C++.	· Ph.D. in quantitative field with a strong Machine Learning background.· Experience in building large-scale machine-learning models for online recommendation, ads ranking, personalization, or search, etc.· Experience with Big Data technologies such as AWS, Hadoop, Spark, Pig, Hive, Lucene/SOLR or Storm/Samza.	https://www.amazon.jobs/en/jobs/887998/senior-applied-scientist-machine-learning
Amazon	research-science	Senior Research Scientist 	· PhD or MS in any quantitative discipline such as Statistics, Mathematics, Computer Science, or Operational Research.· 4+ years of experience working in research within the fields of Statistics, Applied Mathematics, Operations Research, etc.· Communication and data presentation skills· Proven experience in design and execution of analytical projects· Experience with statistical based hypothesis testing. (AB Test, z-test, etc.)	· Experience in e-commerce / on-line companies in fraud / risk control functions· Prior well-established recognized academic experience, multiple publications in top-tier academic journals· Depth, breadth, and familiarity with Machine Learning, Forecasting, Optimization, Causal Analysis, Time Series Analysis and/or Clustering and Predictive Modeling techniques.· Expertise in prototyping with applications of efficient large-scale data analysis in a complicated system· Experience in statistical techniques such as classification, clustering, regression, statistical inference, collaborative filtering and experimental design etc.· Compelling communication and influencing skills and participation in winning the support of management and influence the course of major strategic decision	https://www.amazon.jobs/en/jobs/879128/senior-research-scientist
Amazon	research-science	Principal Applied Scientist	· Graduate degree (MS or PhD) in Electrical Engineering, Computer Science, or Mathematics.· More than 6 years of industrial/academic experience in data science, machine learning or a related field.· Demonstrated use of modeling and optimization techniques tailored to meet business needs.· Experience with leadership of experienced scientists as well as a record of developing junior members from academia/industry to a career track in a business environment.· Familiar with programming languages such as C/C++, Java, Perl or Python	· PhD degree in Electrical Engineering, Computer Science, or Mathematics.· More than 10 years of industrial/academic experience in building speech recognition and natural language processing systems (e.g. commercial speech products or government speech projects)· Demonstrated experience to manage an industrial research team for at least 3 years.· Excellent written and verbal communication skills· Solid track record of thought leadership and contributions that have advanced the field	https://www.amazon.jobs/en/jobs/877884/principal-applied-scientist
Amazon	research-science	Senior UX Research Scientist	· BA/BS in experimental psychology, cognitive science, human computer interaction or related discipline· 5+ years End-to-end experience with all aspects of research (study design, recruiting, moderation, analysis, reporting)· 5+ years of hands-on experience conducting UX research in an applied setting· A portfolio demonstrating past work experience, deliverables, and extraction of actionable insights from qualitative data· 5+ years experience with Hands-on experience with field research, ethnography, lab-based user testing, remote testing, paper testing, survey design and iterative prototype testing	· MA/MS/Ph.D. in research science, psychology, human computer interaction, anthropology, or related discipline· Excellent verbal, written and presentation skills, showing experience presenting to and effectively advising senior management· Working knowledge of behavioral statistics and the principles of experimental design· Strong ability to understand, analyze and interpret complicated data across quantitative & behavioral analysis· Experience conducting usability research including knowledge of best practices· Experience conducting research across a variety of countries, modalities and environments· Experience working with Healthcare data and expertise with the nuances in both format & privacy reporting· Experience working in technology, particularly with APIs, SDKs, and other tools for building software· Start-up or early stage business experience including a proven track-record of delivering results in ambiguous circumstances	https://www.amazon.jobs/en/jobs/1408114/senior-ux-research-scientist
Amazon	research-science	Senior Research Scientist	A graduate degree in a related, quantitative field (Survey Methodology, Statistics, Economics, Epidemiology, etc.).3+ years in a research role and a track record of implementing surveys and impactful statistical analysis.Strong background and experience using Qualtrics and Python or R.Experienced in handling large data sets using SQL and databases in a business environment.	A PhD degree in a related, quantitative field (Survey Methodology, Statistics, Economics, Epidemiology, etc.).	https://www.amazon.jobs/en/jobs/1405832/senior-research-scientist
Amazon	research-science	Applied Scientist - Amazon Air Science and Technology	· Ph.D. in Machine Learning, Operations Research, Transportation Management, Operations Management, Industrial Engineering, Systems Engineering, Computer Science, Applied Mathematics, Statistics or a related field.· Experience designing/implementing machine learning algorithms tailored to particular business needs and tested on large datasets.· Detailed knowledge of optimization methods to solve linear and integer programming models.· Experience designing simulation and optimization solution for large scale applications.· Experience in writing scripts (Perl, Ruby) to manipulate data and developing software applications in programming languages such as C++, Java, and Python.· The ability to implement models and tools through the use of high-level modeling languages (e.g. AMPL, Mosel, R, Matlab, Julia) is a plus.· Excellent communication skills with both technical and non-technical audiences.· Strong problem-solving ability and the ability to work in ambiguous and constantly evolving environment.· Ability to work independently and as part of a diverse team.· 5+ yrs of relevant, broad research science experience after PhD degree.	· Experience in data mining and using databases in a business environment with large-scale, complex datasets.· Strong personal interest in learning, researching, and creating new technologies with high customer impact.	https://www.amazon.jobs/en/jobs/1403637/applied-scientist-amazon-air-science-and-technology
Amazon	research-science	Senior Applied Scientist	· PhD degree with 3+ years of applied research experience, or a Master's degree and 6+ years of experience of applied research experience· 3+ years of experience in building machine learning and/or econometrics models for business application· Strong background in ML, statistics, science applications to business problems, big data, and/or econometrics· Hands on experience with at least one of the following: Python, Spark· Experience working with engineers to productionize ML models (data acquisition, validation, ML training, vending outputs)· Strong written and verbal communication skills	· PhD in Machine Learning, Economics, Statistics, Mathematics, or Related Fields with 4+ years of applied research experience· Experience with marketing measurement and/or building production level systems for causal inference· Proficient in software design principles with application on large-scale ML modeling· Experience with Spark and AWS services including S3 and EMR· Experience communicating results and business impact of analytical deep dives to senior leadershipAmazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, visit https://www.amazon.jobs/en/disability/us	https://www.amazon.jobs/en/jobs/1400859/senior-applied-scientist
