Company	Category	Job_Title	Basic_Qualifications	Preferred_Qualifications	Job_URL
Amazon	finance-accounting	International Tax Analyst	· Bachelor's degree/Master's degree required	· 1+ years of work experience· Direct tax modeling and process development experience.· Distributed computing experience.· Process design and re-engineering experience.· Exceptional Excel Modeling skills; experience working through large data sets; Knowledge of Table Structure and Pivot Tables· Strong Python and SQL skills.· Experience working with technical and non-technical teams.· Strong tax operational background and ability to drive process improvements.· Direct tax experience with international income tax compliance/reporting.· Highly motivated and organized; excellent attention to detail· Tax preparation software experience helpful (Corptax international tax compliance software).· CPA, or other professional certification.	https://www.amazon.jobs/en/jobs/953258/international-tax-analyst
Amazon	finance-accounting	Financial Analyst II, Amazon Air	· BA/BS in Finance, Accounting, Business, Economics, or a highly analytical field (e.g., Engineering, Math, and Computer Science) or equivalent.· Minimum 3+ years of finance experience or an equivalent combination of education and experience.	· Experience working with large-scale data mining and reporting tools (examples: SQL, Tableau, Essbase, Cognos) and other financial systems (examples: Oracle, SAP, Lawson, JD Edwards)· MBA and/or Professional certifications (CPA/CMA/Qualified Accounting certificate)· Experience with AP and invoice processing at scale	https://www.amazon.jobs/en/jobs/1413114/financial-analyst-ii-amazon-air
Amazon	finance-accounting	Finance Manager, Private Label Fresh Prepared Foods 	· BA or BS in Finance, Accounting, Business, Economics, or a highly analytical field (e.g., Engineering, Math, Computer Science) or equivalent.· Minimum 7+ years of finance experience, or master’s degree and 5 years of experience, or an equivalent combination of education and experience.· 3+ years of direct management experience	· Experience working with large-scale data mining and reporting tools (examples: SQL, MS Access, Essbase, Cognos) and other financial systems (examples: Oracle, SAP, Lawson, JD Edwards)· MBA and/or Professional certification (CPA/CMA/Qualified Accounting certificate)Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.	https://www.amazon.jobs/en/jobs/1412879/finance-manager-private-label-fresh-prepared-foods
Amazon	finance-accounting	Finance Manager, FP&A Partner Lead	· BA/BS in Finance, Accounting, Business, Economics, or a highly analytical field (e.g., Engineering, Math, and Computer Science) or equivalent.· Minimum 7+ years of finance experience, or master’s degree and 5 years of experience, or an equivalent combination of education and experience.· 3+ years of direct management experience	· Experience working with large-scale data mining and reporting tools (i.e. SQL, Tableau, Essbase and/or Cognos) and other financial systems (i.e. Oracle, SAP, Lawson, JD Edwards)· MBA and/or Professional certification (CPA/CMA/Qualified Accounting certificate)	https://www.amazon.jobs/en/jobs/1412415/finance-manager-fp-a-partner-lead
Amazon	finance-accounting	Sr. Financial Analyst	5+ years’ of experience in finance or a related analytical field, or an equivalent combination of education and experience.	· MBA· Excellent written and communication skills· Ability to work in a fast-paced and often ambiguous environment· Advanced knowledge of SQL· Ability to present ideas to a group of senior level managers· Highly analytical and detail oriented	https://www.amazon.jobs/en/jobs/1412079/sr-financial-analyst
Amazon	finance-accounting	Senior Finance Manager	· BA/BS degree in Finance, Accounting, Business, Engineering and/or similar discipline with analytical bias· 10+ years experience in positions that require analysis and reporting financial results· 3+ years of experience performing financial and ad hoc analysis using data reporting tools· Ability to travel; 25%+ travel expected, primarily to local operations, in addition to regional support	· MBA and/ or Professional certification (CPA/CMA/Qualified Accounting certificate) + relevant experience· Demonstrated ability to think strategically and creatively while applying excellent business judgment.· Proven ability to develop and manage financial models for business forecasting, variance analysis, and problem solving.· 5+ years of hiring, leading and developing teams including a demonstrated ability to set and execute a clear direction for your team.· Ability to work successfully in an ambiguous environment including an ability to meet tight deadlines, prioritize workload and drive projects to completion.· This role can be located in Seattle, WA or Nashville, TNAmazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.	https://www.amazon.jobs/en/jobs/1411592/senior-finance-manager
Amazon	finance-accounting	Senior Program Manager, Process Improvement	Bachelor’s degree (preferably in statistics, engineering or IT).Lean/Six Sigma Black Belt, and PMP certified (or equivalent certification).5+ years of professional experience related to process improvement and business transformation.5+ years of experience as a process change leader.5+ years of experience driving complex cross functional projects.	· Prior finance experience· Advanced skills in statistical analysis· Experience managing global Kaizen efforts.· Experience creating project benefit business cases and validating benefits have been achieved.· Experience deploying transactional lean, manufacturing lean, variation reduction, and Design for Six Sigma methodologies.· Basic understanding of how artificial intelligence and machine learning can be applied to support process monitoring and improvements.	https://www.amazon.jobs/en/jobs/1411565/senior-program-manager-process-improvement
Amazon	finance-accounting	Sr. Financial Analyst - AWS Data Center Infrastructure	· BA/BS in Finance, Accounting, Business, Economics, or a highly analytical field (e.g. Engineering, Math, and Computer Science) or equivalent· Minimum 5 years of finance experience, or master’s degree and 3 years of experience, or an equivalent combination of education and experience.· 2+ years of experience performing financial and ad hoc analysis using data reporting tools	· MBA or professional certification (CFA/CPA/CMA) + relevant experience· Experience working with Big Data· Advanced experience demonstrating problem solving and root cause analysis· Highly analytical, detail oriented and strong business sense· Ability to work independently and self-motivate in a fast-paced and rapidly changing environment· Proven ability to meet tight deadlines and prioritize workload· Effective communication and presentation skills working with multiple peer groups and senior levels of management· Previous experience within a Manufacturing, Distribution Center or Logistics processes and systems a plus· Ability to travel; 10% travel expected, primarily to local operations· Required proficiency in Excel (macros, index, conditional list, arrays, pivots, lookups)· Experience working with large-scale data mining and reporting tools (i.e. SQL, Essbase and/or Cognos) and other financial systems (i.e. Oracle, SAP), providing solutions to senior management for strategic decision-makingAmazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.	https://www.amazon.jobs/en/jobs/1411530/sr-financial-analyst-aws-data-center-infrastructure
Amazon	finance-accounting	Senior Financial Analyst, Global Specialty Fulfillment Operations	· BA or BS in Finance, Accounting, Business, Economics, or a highly analytical field (e.g., Engineering, Math, Computer Science) or equivalent.· Minimum 5+ years of finance experience, or master’s degree and three years of experience, or an equivalent combination of education and experience.	· Experience working with large-scale data mining and reporting tools (examples: SQL, Tableau, Essbase, Cognos) and other financial systems (examples: Oracle, SAP, Lawson, JD Edwards)· MBA and/or Professional certifications (CPA/CMA/Qualified Accounting Certificate)· Previous experience in a Manufacturing, Distribution Center or Logistics processes and systems a plusAmazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.	https://www.amazon.jobs/en/jobs/1411494/senior-financial-analyst-global-specialty-fulfillment-operations
Amazon	finance-accounting	Senior Financial Analyst, Hardlines Finance	5+ years of experience in finance or a related analytical field, or an equivalent combination of education and experience.	· Excellent proficiency with Microsoft Excel· Working knowledge of SQL· MBA from a top-tier college· CPA and/or CFA· Highly analytical and detail oriented· Ability to develop new ideas and solutions· Ability to work successfully in an ambiguous environment· Ability to meet tight deadlines and prioritize workload· Excellent communication skills, both verbal and written· Customer focus and professional demeanor· Strong track record of business partnership· Stakeholder management	https://www.amazon.jobs/en/jobs/1411384/senior-financial-analyst-hardlines-finance
